experiment,plate_label,plate_key,sample_name,compound_name,unit,model,model_type,ic50,ic50_l,ic50_u,ic50_flag,logIC50,logIC50_l,logIC50_u
Resazurin_Exp33,P676_A,A1,P676,A1,µM,,drc,0.6468768037937922,0.29904784839105625,3.2542899208862077,ok,-0.18917842184602476,-0.5242593179308678,0.512456241112293
Resazurin_Exp33,P676_A,A2,P676,A2,µM,,drc,0.20911197230691397,0.17852804512281573,0.22602407598630375,ok,-0.6796211017687384,-0.74829355050214,-0.6458452975291902
Resazurin_Exp33,P676_A,A3,P676,A3,NA,,spline,NA,NA,NA,nofit,NA,NA,NA
Resazurin_Exp33,P676_A,A4,P676,A4,NA,,spline,NA,NA,NA,nofit,NA,NA,NA
Resazurin_Exp33,P676cse_A,A1,P676cse,A1,µM,,drc,3.4983117504539782,0.3577843323427938,16.74892686737872,ok,0.5438585088216281,-0.4463786814490576,1.2239869862680315
Resazurin_Exp33,P676cse_A,A2,P676cse,A2,µM,,drc,0.017350907096796354,0.016049925817701812,0.018491225767574164,ok,-1.7606778155800038,-1.794526970551147,-1.7330342988760434
Resazurin_Exp33,P676cse_A,A3,P676cse,A3,NA,,spline,NA,NA,NA,nofit,NA,NA,NA
Resazurin_Exp33,P676cse_A,A4,P676cse,A4,NA,,spline,NA,NA,NA,nofit,NA,NA,NA
Resazurin_Exp33,P679_A,A1,P679,A1,µM,,drc,5.96576232221843,1.5e-4,16.009794570468422,ok,0.7756659469467311,-3.8239087409443187,1.2043857593094074
Resazurin_Exp33,P679_A,A2,P679,A2,µM,,drc,0.020701586135402458,0.018847681850095294,0.022804601667891396,ok,-1.6839963780473015,-1.724742057745825,-1.6419775092571836
Resazurin_Exp33,P679_A,A3,P679,A3,NA,,spline,NA,NA,NA,nofit,NA,NA,NA
Resazurin_Exp33,P679_A,A4,P679,A4,NA,,spline,NA,NA,NA,nofit,NA,NA,NA
Resazurin_Exp33,P679cse_A,A1,P679cse,A1,µM,,drc,1.1888310185068327,0.982245326945013,3.6893466867630242,ok,0.07512012800348748,-0.007780028677339416,0.5669494676620639
Resazurin_Exp33,P679cse_A,A2,P679cse,A2,µM,,drc,0.014908654551901686,0.0135729175506118,0.01713641943091567,ok,-1.8265615481667457,-1.8673267890432705,-1.7660799165925787
Resazurin_Exp33,P679cse_A,A3,P679cse,A3,NA,,spline,NA,NA,NA,nofit,NA,NA,NA
Resazurin_Exp33,P679cse_A,A4,P679cse,A4,NA,,spline,NA,NA,NA,nofit,NA,NA,NA
Resazurin_Exp33,P698_A,A1,P698,A1,µM,,drc,2.200608451718752,0.1303051097880277,3.1252528621271964,ok,0.3425427765901173,-0.8850385535181705,0.4948851615789129
Resazurin_Exp33,P698_A,A2,P698,A2,µM,,drc,0.06277941952412093,0.05379592018559414,0.07073321320357555,ok,-1.2021827042243267,-1.2692506594278308,-1.1503766127377792
Resazurin_Exp33,P698_A,A3,P698,A3,NA,,spline,NA,NA,NA,nofit,NA,NA,NA
Resazurin_Exp33,P698_A,A4,P698,A4,NA,,spline,NA,NA,NA,nofit,NA,NA,NA
Resazurin_Exp33,P698cse_A,A1,P698cse,A1,µM,,drc,0.6899889800295538,0.5488471640051223,0.8062667926711694,ok,-0.16115784542299652,-0.2605485755318812,-0.0935212269136036
Resazurin_Exp33,P698cse_A,A2,P698cse,A2,µM,,drc,0.006515726946404278,0.0059112495147670505,0.007122708003719773,ok,-2.18603712389616,-2.2283207086261685,-2.147354859245568
Resazurin_Exp33,P698cse_A,A3,P698cse,A3,NA,,spline,NA,NA,NA,nofit,NA,NA,NA
Resazurin_Exp33,P698cse_A,A4,P698cse,A4,NA,,spline,NA,NA,NA,nofit,NA,NA,NA
