sample_id,Compound,Unit,pos,fit_ok,p_trend,ED,SE,Lower,Upper
ASC397,CSE,%,A1,TRUE,NA,2.9424579717928094,0.1251291112761382,2.6972049136915786,3.1877110298940403
ASC397,CSE_Erastin,%,A4,TRUE,NA,1.0907851394964303,0.08656833550916505,0.9211112018984668,1.2604590770943938
ASC397,CSE_NAC,%,A3,TRUE,NA,4.876672209255724,0.24839942308265667,4.389809340013717,5.363535078497731
ASC397,CSE_SFN,%,A2,TRUE,NA,3.4112959938173804,0.2006748960218476,3.017973197614559,3.8046187900202018
ASC397cse,CSE,%,A1,TRUE,NA,2.4638370029792602,0.10925176586367838,2.2497035418864506,2.67797046407207
ASC397cse,CSE_Erastin,%,A4,TRUE,NA,4232.845885916099,10,4213.245885916099,4252.4458859160995
ASC397cse,CSE_NAC,%,A3,TRUE,NA,4.585886719191859,0.30278515823018076,3.992427809060705,5.179345629323014
ASC397cse,CSE_SFN,%,A2,TRUE,NA,3.0318301779457038,0.20321848084685692,2.633521955485864,3.4301384004055433
ASC399,CSE,%,A1,TRUE,NA,2.1290721991462265,0.0927617320815035,1.9472592042664796,2.3108851940259734
ASC399,CSE_Erastin,%,A4,TRUE,NA,45548.076511740066,10,45528.47651174007,45567.676511740065
ASC399,CSE_NAC,%,A3,TRUE,NA,4.057942254438706,0.2373795737584623,3.5926782898721203,4.523206219005292
ASC399,CSE_SFN,%,A2,TRUE,NA,3.0076354211783993,0.17613444478990078,2.662411909390194,3.3528589329666048
ASC399cse,CSE,%,A1,TRUE,NA,2.2722512150178167,0.14355496011175348,1.9908834931987798,2.5536189368368536
ASC399cse,CSE_Erastin,%,A4,FALSE,NA,NA,NA,NA,NA
ASC399cse,CSE_NAC,%,A3,TRUE,NA,4.34700807314824,0.29351495901167035,3.7717187534853664,4.922297392811114
ASC399cse,CSE_SFN,%,A2,TRUE,NA,2.531953394154581,0.18279842275276184,2.173668485559168,2.890238302749994
