sample_id,comp_base,unit,IC50_nonCSE,SE_nonCSE,IC50_CSE,SE_CSE,ratio,ratio_lwr,ratio_upr,p_value
P676,BSO,mM,1.0688687234092762,0.4283705345848813,0.36152700054110626,0.028756313313263983,0.3382333046363033,0.1518518226340647,0.7533776439475595,0.007975800818600588
P676,Rotenone,mM,0.3078531803689349,0.04203477053675591,0.31864354517537025,0.03181720367810125,1.0350503600239052,0.7429716854618711,1.441951650041172,0.8386210573405626
P676cse,BSO,mM,1194789940.3155923,10.000000000000014,0.030453269819531,0.01814079029056909,2.5488388202772345e-11,7.930097310783588e-12,8.192307202735076e-11,0
P676cse,Rotenone,mM,0.20915969262488646,0.014527776227285835,0.22837245875828965,0.013126398260900014,1.0918569246889265,0.9150047716471265,1.3028910678193881,0.3296829442456748
P679,BSO,mM,71.28400569209109,228.8971957998986,0.022910542074771827,0.001312653013053345,3.213980731348512e-4,5.933337185387854e-7,0.1740954848633685,0.012268386606234711
P679,Rotenone,mM,0.26155619085994924,0.05500747867659387,0.2720408093921286,0.029834789891689334,1.0400855299876781,0.6533896110344841,1.655639899105552,0.8683889846037838
P679cse,BSO,mM,1.189841806420824,0.2919485228756794,0.015550200117067368,0.0010232972644174244,0.013069132411680924,0.007943367696893414,0.021502494724101488,2.310498006344357e-65
P679cse,Rotenone,mM,0.256686041446115,0.042832488473916526,0.18135375181127752,0.02344913930783364,0.7065197265483109,0.46712397278673135,1.0686030969979772,0.0998289338188657
P698,BSO,mM,0.1170176707669991,0.032239451863002165,0.1340027284482228,0.017480995737524818,1.1451495109233858,0.6300616152946081,2.081332000767722,0.6565936456594625
P698,Rotenone,mM,0.2844687907144584,NA,0.2046244669226461,0.010497544196056727,NA,NA,NA,NA
P698cse,BSO,mM,0.44348797374240556,0.07698098997266975,0.006422509449038794,0.0010462083849086315,0.014481811975287594,0.009082267665636414,0.0230914663395232,8.4300201176434e-71
P698cse,Rotenone,mM,0.2739910910299889,0.05849468870948176,0.018821031153670714,0.006226611839849671,0.06869212821087936,0.03175055762832757,0.1486149797233793,1.0331809992747556e-11
