sample_id,is_cse,comp_base,Unit,comp_var,IC50_var,SE_var,IC50_base,SE_base,ratio,ratio_lwr,ratio_upr,p_value
ASC397,FALSE,CSE,%,Erastin,1.0907851394964303,0.08656833550916505,2.9424579717928094,0.1251291112761382,0.37070542721526994,0.31073241821862835,0.4422535458471754,3.0146876669314455e-28
ASC397,FALSE,CSE,%,NAC,4.876672209255724,0.24839942308265667,2.9424579717928094,0.1251291112761382,1.6573464280560029,1.4552287737776792,1.8875363324898293,2.6588886029123554e-14
ASC397,FALSE,CSE,%,SFN,3.4112959938173804,0.2006748960218476,2.9424579717928094,0.1251291112761382,1.1593355033509323,1.005590676788682,1.336586386840979,0.04166957510473607
ASC397cse,TRUE,CSE,%,Erastin,4232.845885916099,10,2.4638370029792602,0.10925176586367838,1717.989412772744,1574.7882737059501,1874.212344402019,0
ASC397cse,TRUE,CSE,%,NAC,4.585886719191859,0.30278515823018076,2.4638370029792602,0.10925176586367838,1.8612784505008353,1.5926158911442152,2.175262402919904,5.658216112826102e-15
ASC397cse,TRUE,CSE,%,SFN,3.0318301779457038,0.20321848084685692,2.4638370029792602,0.10925176586367838,1.2305319606287382,1.0511925001139537,1.440467760153026,0.009845533510925833
ASC399,FALSE,CSE,%,Erastin,45548.076511740066,10,2.1290721991462265,0.0927617320815035,21393.392168666313,19642.303894458033,23300.587901579314,0
ASC399,FALSE,CSE,%,NAC,4.057942254438706,0.2373795737584623,2.1290721991462265,0.0927617320815035,1.9059674237754691,1.652067534825077,2.1988882076046212,9.338396058304428e-19
ASC399,FALSE,CSE,%,SFN,3.0076354211783993,0.17613444478990078,2.1290721991462265,0.0927617320815035,1.4126507416631915,1.2243421620532524,1.6299219121678568,2.2126985347973223e-6
ASC399cse,TRUE,CSE,%,Erastin,NA,NA,2.2722512150178167,0.14355496011175348,NA,NA,NA,NA
ASC399cse,TRUE,CSE,%,NAC,4.34700807314824,0.29351495901167035,2.2722512150178167,0.14355496011175348,1.9130842771335717,1.595963726649987,2.2932171892765933,2.291027338685729e-12
ASC399cse,TRUE,CSE,%,SFN,2.531953394154581,0.18279842275276184,2.2722512150178167,0.14355496011175348,1.1142928992271341,0.9232873993818307,1.3448127485540624,0.25930180427788013
