base,Compound,sample_id,samplecse_id,unit,IC50_sample,SE_sample,IC50_sampleCSE,SE_sampleCSE,ratio,ratio_lwr,ratio_upr,p_value
p676,BSO,P676,NA,mM,1.0688687234092762,0.4283705345848813,1194789940.3155923,10.000000000000014,1117807934.827279,509594654.9692944,2451938157.079208,0
p676,BSO_CSE,P676,NA,mM,0.36152700054110626,0.028756313313263983,0.030453269819531,0.01814079029056909,0.08423511874341569,0.02593754974667519,0.27356305044299284,3.8408561202504067e-5
p676,Rotenone,P676,NA,mM,0.3078531803689349,0.04203477053675591,0.20915969262488646,0.014527776227285835,0.6794137789131397,0.5031924275119458,0.9173490254204475,0.011631569286227035
p676,Rotenone_CSE,P676,NA,mM,0.31864354517537025,0.03181720367810125,0.22837245875828965,0.013126398260900014,0.716701976914679,0.5718299404263204,0.898277070505359,0.003838808236267198
p679,BSO,P679,NA,mM,71.28400569209109,228.8971957998986,1.189841806420824,0.2919485228756794,0.016691567692762747,3.0284450317666555e-5,9.199718968633682,0.2037621316006268
p679,BSO_CSE,P679,NA,mM,0.022910542074771827,0.001312653013053345,0.015550200117067368,0.0010232972644174244,0.6787355823496916,0.5720436831317274,0.8053265936361916,8.938839728083944e-6
p679,Rotenone,P679,NA,mM,0.26155619085994924,0.05500747867659387,0.256686041446115,0.042832488473916526,0.9813801026929545,0.5798475940956538,1.6609655981477718,0.9441854547850987
p679,Rotenone_CSE,P679,NA,mM,0.2720408093921286,0.029834789891689334,0.18135375181127752,0.02344913930783364,0.6666417153239251,0.4781576721017594,0.9294239171288411,0.01677138762352648
p698,BSO,P698,NA,mM,0.1170176707669991,0.032239451863002165,0.44348797374240556,0.07698098997266975,3.7899231016609534,2.0019239449756396,7.174856543652644,4.2844488185985166e-5
p698,BSO_CSE,P698,NA,mM,0.1340027284482228,0.017480995737524818,0.006422509449038794,0.0010462083849086315,0.04792819910021746,0.031838080446441985,0.07214983556732596,5.239967864240942e-48
p698,Rotenone,P698,NA,mM,0.2844687907144584,NA,0.2739910910299889,0.05849468870948176,NA,NA,NA,NA
p698,Rotenone_CSE,P698,NA,mM,0.2046244669226461,0.010497544196056727,0.018821031153670714,0.006226611839849671,0.09197840041672828,0.04772101916785987,0.17728091919960154,1.021867216050428e-12
